flight_no,launch_site,payload,payload_mass,orbit,customer,mission_outcome,booster_version,landing_outcome,date,time
1,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success ,F9 v1.0B0003.1,Failure,2010-06-04,18:45
2,CCSFS,Dragon,0,LEO,NASA (COTS) NRO,Success,F9 v1.0B0004.1,Failure,2010-12-08,15:43
3,CCSFS,Dragon,525,LEO,NASA (COTS),Success,F9 v1.0B0005.1,No attempt ,2012-05-22,07:44
4,CCSFS,SpaceX CRS-1,4700,LEO,NASA (CRS),Success ,F9 v1.0B0006.1,No attempt,2012-10-08,00:35
5,CCSFS,SpaceX CRS-2,4877,LEO,NASA (CRS),Success ,F9 v1.0B0007.1,No attempt ,2013-03-01,15:10
6,VAFB,CASSIOPE,500,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,2013-09-29,16:00
7,CCSFS,SES-8,3170,GTO,SES,Success,F9 v1.1,No attempt,2013-12-03,22:41
8,CCSFS,Thaicom 6,3325,GTO,Thaicom,Success,F9 v1.1,No attempt,2014-01-06,22:06
9,CCSFS,SpaceX CRS-3,2296,LEO,NASA (CRS),Success ,F9 v1.1,Controlled,2014-04-18,19:25
10,CCSFS,Orbcomm-OG2,1316,LEO,Orbcomm,Success,F9 v1.1,Controlled,2014-07-14,15:15
11,CCSFS,AsiaSat 8,4535,GTO,AsiaSat,Success,F9 v1.1,No attempt,2014-08-05,08:00
12,CCSFS,AsiaSat 6,4428,GTO,AsiaSat,Success,F9 v1.1,No attempt ,2014-09-07,05:00
13,CCSFS,SpaceX CRS-4,2216,LEO,NASA (CRS),Success,F9 v1.1,Uncontrolled,2014-09-21,05:52
14,CCSFS,SpaceX CRS-5,2395,LEO,NASA (CRS),Success,F9 v1.1,Failure ,2015-01-10,09:47
15,CCSFS,DSCOVR,570,HEO,"USAF
NASA
NOAA",Success ,F9 v1.1,Controlled,2015-02-11,23:03
16,CCSFS,ABS-3A,4159,GTO,"ABS
Eutelsat",Success ,F9 v1.1,No attempt,2015-03-02,03:50
17,CCSFS,SpaceX CRS-6,1898,LEO,NASA (CRS),Success ,F9 v1.1,Failure,2015-04-14,20:10
18,CCSFS,TürkmenÄlem 52°E / MonacoSAT,4707,GTO,Turkmenistan NationalSpace Agency[88],Success ,F9 v1.1,No attempt,2015-04-27,23:03
19,CCSFS,SpaceX CRS-7,1952,LEO,NASA (CRS),Failure,F9 v1.1,Precluded,2015-06-28,14:21
20,CCSFS,Orbcomm-OG2,2034,LEO,Orbcomm,Success ,F9 FT,Success,2015-12-22,01:29
21,VAFB,Jason-3,553,LEO,"NASA (LSP)
NOAA
CNES",Success ,F9 v1.1,Failure,2016-01-17,18:42
22,CCSFS,SES-9,5271,GTO,SES,Success ,F9 FT,Failure,2016-03-04,23:35
23,CCSFS,SpaceX CRS-8,3136,LEO,NASA (CRS),Success,F9 FT,Success,2016-04-08,20:43
24,CCSFS,JCSAT-14,4696,GTO,SKY Perfect JSAT Group,Success ,F9 FT,Success,2016-05-06,05:21
25,CCSFS,Thaicom 8,3100,GTO,Thaicom,Success ,F9 FT,Success,2016-05-27,21:39
